Message,Label
"UNION SELECT username, password FROM users; --",1
"DROP VIEW user_accounts;",1
"SELECT * FROM transactions WHERE amount > 10000;",1
"INSERT INTO logins (username, password) VALUES ('hacker', 'password');",1
"UPDATE users SET password='newpassword' WHERE username='admin';",1
"DELETE FROM logins WHERE username='user';",1
"<script>alert('Attack!')</script>",1
"INSERT INTO users (username, password) VALUES ('newuser', 'newpass');",1
"SELECT password FROM users WHERE username='admin';",1
"UPDATE accounts SET balance = 0;",1
"UNION SELECT * FROM users; --",1
"DROP TABLE transactions; --",1
"INSERT INTO logins (username, password) VALUES ('hacker', 'hacked');",1
"UPDATE users SET password='test';",1
"SELECT * FROM accounts WHERE balance > 1000000;",1
"DELETE FROM accounts WHERE balance < 0; --",1
"SELECT * FROM sensitive_data; --",1
"DROP PROCEDURE bank_procedure;",1
"INSERT INTO logins VALUES('test', 'password'); --",1
"DROP FUNCTION bank_function; --",1
"UNION SELECT * FROM sensitive_data; --",1
"SELECT username, password FROM logins WHERE username = 'admin';",1
"DELETE FROM logins WHERE username='test';",1
"INSERT INTO accounts (account_id, balance) VALUES (99999, 1000000);",1
"DROP VIEW user_details;",1
"UNION SELECT credit_card FROM users; --",1
"DROP FUNCTION account_details;",1
"DELETE FROM accounts WHERE account_id = 12345;",1
"SELECT * FROM account_details;",1
"INSERT INTO logins VALUES('admin', 'hack');",1
"UPDATE accounts SET balance = balance - 1000 WHERE account_id = 1;",1
"DELETE FROM sensitive_data WHERE data_id = 1;",1
"UNION SELECT * FROM credit_cards; --",1
"DROP TABLE bank_accounts;",1
"SELECT * FROM bank_data;",1
"INSERT INTO users VALUES('admin', '123456');",1
"UPDATE transactions SET amount = -1000000;",1
"DROP TABLE logins; --",1
"INSERT INTO users VALUES('hacker', 'hacked');",1
"UPDATE users SET password='password123' WHERE username='test';",1
"DELETE FROM users WHERE username='user'; --",1
"UNION SELECT username, password FROM sensitive_data;",1
"INSERT INTO logins VALUES('user', 'hack');",1
"DROP TABLE sensitive_data; --",1
"UPDATE accounts SET balance = balance * 2 WHERE account_id = 123;",1
"SELECT * FROM admin_data;",1
"DELETE FROM users WHERE username='admin'; --",1
"UNION SELECT username, password FROM admin_data;",1
"INSERT INTO accounts (account_id, balance) VALUES (54321, 1000000);",1
"DROP VIEW transaction_logs;",1
"INSERT INTO logins VALUES('attacker', 'password');",1
"UPDATE accounts SET balance = 1000000 WHERE account_id = 2;",1
"DELETE FROM accounts WHERE account_id=1;",1
"UNION SELECT username, password FROM bank_accounts; --",1
"DROP FUNCTION transaction_details;",1
"INSERT INTO logins VALUES('test', 'password123');",1
"UPDATE accounts SET balance = balance + 1000 WHERE account_id=1;",1
"DELETE FROM logins WHERE username='user'; --",1
"UNION SELECT * FROM logins; --",1
"INSERT INTO logins VALUES('hacker', 'hacked');",1
"DELETE FROM sensitive_data WHERE data_id=1;",1
"UPDATE accounts SET balance = balance * 0;",1
"INSERT INTO users VALUES('user', 'password123');",1
"DROP PROCEDURE sensitive_procedure;",1
"INSERT INTO logins VALUES('attacker', 'test');",1
"UNION SELECT * FROM passwords; --",1
"DROP FUNCTION bank_functions; --",1
"UPDATE users SET password='attacked' WHERE username='admin';",1
"DELETE FROM accounts WHERE account_id=12345;",1
"UNION SELECT * FROM credit_cards; --",1
"DROP TABLE sensitive_data; --",1
"INSERT INTO logins VALUES('test', 'hacker');",1
"DELETE FROM logins WHERE username='admin';",1
"UNION SELECT username, password FROM sensitive_data; --",1
"UPDATE accounts SET balance = 1000000 WHERE account_id = 3;",1
"DROP VIEW account_data;",1
"INSERT INTO users VALUES('hacker', 'hack');",1
"DELETE FROM sensitive_data;",1
"UNION SELECT * FROM sensitive_data; --",1
"DROP FUNCTION bank_procedures; --",1
"UPDATE users SET password='hacked' WHERE username='user';",1
"DELETE FROM accounts WHERE account_id=1;",1
"INSERT INTO accounts VALUES(9999, 1000000);",1
"DROP TABLE accounts; --",1
"UNION SELECT * FROM logins; --",1
"INSERT INTO logins VALUES('admin', 'test');",1
"UPDATE users SET password='password';",1
"DELETE FROM accounts WHERE account_id=1; --",1
"UNION SELECT username, password FROM bank_data; --",1
"INSERT INTO users VALUES('attacker', 'test');",1
"UPDATE accounts SET balance = balance - 100000;",1
"DELETE FROM logins WHERE username='user'; --",1
"UNION SELECT username, password FROM sensitive_data;",1
